version,subject,condition,stim_set,total_choices,gini,entropy,max_choice,choice,choice_num
1,p121,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p121,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p121,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p121,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p122,passive,1,8,0.25,1.3208883431493221,3,choice1_num,1
1,p122,passive,1,8,0.25,1.3208883431493221,3,choice2_num,3
1,p122,passive,1,8,0.25,1.3208883431493221,3,choice3_num,2
1,p122,passive,1,8,0.25,1.3208883431493221,3,choice4_num,2
1,p122,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p122,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p122,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p122,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p123,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p123,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p123,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p123,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p123,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p123,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p123,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p123,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p124,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p124,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p124,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p124,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p124,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p124,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p124,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p124,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p125,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p125,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p125,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p125,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p125,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p125,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p125,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p125,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p126,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p126,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p126,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p126,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p126,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p126,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p126,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p126,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p127,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p127,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p127,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p127,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p127,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p127,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p127,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p127,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p128,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p128,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p128,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p128,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p128,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p128,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p128,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p128,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p129,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p129,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p129,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p129,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p129,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p129,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p129,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p129,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p130,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p130,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p130,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p130,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p130,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p130,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p130,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p130,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p131,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p131,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p131,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p131,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p131,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p131,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p131,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p131,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p132,passive,1,8,0,1.3862943611198906,2,choice1_num,2
